Additional Parts (Not Mouser).  Delete this section for upload to Mouser,,,,,,,,,,,,,,
Reference,Value,Footprint,Datasheet,Comment,Description,EU_RoHS_Compliance,Height,LCSC Part #,Manufacturer_Name,Manufacturer_Part_Number,Modified,Mouser Part Number,Mouser Price/Stock,Qty
CN204,AUDIO,SMD2000_Footprints:RCJ2221,https://www.cuidevices.com/product/resource/digikeypdf/rcj-22xx.pdf,,Conn RCA RCP 2 POS 4mm Solder RA Thru-Hole 3 Terminal 2 Port,,27.4,C4991581,CUI Devices,RCJ-2223,,490-RCJ-2223,https://www.mouser.co.uk/ProductDetail/CUI-Devices/RCJ-2223?qs=WyjlAZoYn50wV0WbOL8WfA%3D%3D,1
CN250,JOYSTICK,SMD2000_Footprints:PinHeader_2x05_P2.54mm_Vertical_Top_Bottom,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,,,,,,Amphenol FCI,67997-410HLF,,649-67997-410HLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/67997-410HLF?qs=EEeFj3a206OMu9AFYw1RTQ%3D%3D,1
CN251,MOUSE,SMD2000_Footprints:PinHeader_2x05_P2.54mm_Vertical_Top_Bottom,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,,,,,,Amphenol FCI,67997-410HLF,,649-67997-410HLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/67997-410HLF?qs=EEeFj3a206OMu9AFYw1RTQ%3D%3D,1
CN300,KEYBOARD,SMD2000_Footprints:SDF50J,https://www.cuidevices.com/product/resource/sdf-j.pdf,,Conn Circular DIN SKT 5 POS Solder RA Thru-Hole 5 Terminal 1 Port,,21.5,,CUI Devices,SDF-50J,,490-SDF-50J,https://www.mouser.co.uk/ProductDetail/CUI-Devices/SDF-50J?qs=WyjlAZoYn50bYX9%252BKt7ljQ%3D%3D,1
CN301,PARALLEL,Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,,,,,,Amphenol FCI,67996-426HLF,,649-67996-426HLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-426HLF?qs=QKvFUfBIyQJ%2F0pFrKp20QQ%3D%3D,1
CN303,FLOPPY,Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,,,,,,Amphenol FCI,67996-434HLF,,649-67996-434HLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-434HLF?qs=QKvFUfBIyQKJg0WZsSdJsw%3D%3D,1
CN305,SERIAL,SMD2000_Footprints:L717SDE09PA4CH3F,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/l717sdxxxpa4ch3f.pdf,,"Dsub, Stamped Signal 3A, Right Angle PCB Through Hole, FP=8.08mm (0.318in), Row Pitch 2.84mm, 09 Pin, Flash Gold, Bright Tin Shell+Grounding Dimples, M3 Front Screwlock, Ground Tab with Boardlock",,12.85,,Amphenol Communications Solutions,L717SDE09PA4CH3F,,523-L717SDE09PA4CH3F ,https://au.mouser.com/ProductDetail/Amphenol-Commercial-Products/L717SDE09PA4CH3F?qs=wLKqLMNa9uLgFYcuuVUbXg%3D%3D,1
CN306,POWER LED,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings 2.54MM VT ECONOSTIK HDR,,,,Amphenol FCI,10129378-903001BLF,,649-1012937890301BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-903001BLF?qs=0lQeLiL1qybuYTJnitumiA%3D%3D,1
CN350,A500KBD,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X8,,,,Amphenol FCI,10129378-908001BLF,,649-1012937890801BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-908001BLF?qs=0lQeLiL1qybDtVkZc9V5DA%3D%3D,1
CN400,POWER,SMD2000_Footprints:44206-0007_1,https://www.molex.com/pdm_docs/sd/442060001_sd.pdf,,"Mini-Fit Jr. Header, Dual Row, Vertical, with 11.90mm Locking Ramp, 24 Circuits, with Peg 2 Snap-in Plastic Peg",,12.8,,Molex,44206-0007,,538-44206-0007,https://www.mouser.co.uk/ProductDetail/Molex/44206-0007?qs=g5f4E6w8l8gzEjxCgQ0R8g%3D%3D,1
CN450,POWERSW,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings 2.54MM VT ECONOSTIK HDR,,,,Amphenol FCI,10129378-903001BLF,,649-1012937890301BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-903001BLF?qs=0lQeLiL1qybuYTJnitumiA%3D%3D,1
CN451-CN453,3.3 v,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings 2.54MM VT ECONOSTIK HDR,,,,Amphenol FCI,10129378-903001BLF,,649-1012937890301BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-903001BLF?qs=0lQeLiL1qybuYTJnitumiA%3D%3D,3
"CN519, CN520",A19_ROMSW,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,,,,,,Amphenol FCI,67996-400HLF,,649-67996-400HLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D,2
CN600,CPU Card,SMD2000_Footprints:TE_1-5530843-0,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5530843&DocType=Customer+Drawing&DocLang=English&PartCntxt=1-5530843-0&DocFormat=pdf,1-5530843-0,,Compliant,,C4693071,TE Connectivity / AMP,1-5530843-0,,571-1-5530843-0,https://au.mouser.com/ProductDetail/TE-Connectivity-AMP/1-5530843-0?qs=uJX40y%252BSWqjthdq8B1k%252BaA%3D%3D,1
CN601,Zorro,SMD2000_Footprints:TE_5645235-3,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5645235&DocType=Customer+Drawing&DocLang=English&PartCntxt=5645235-3&DocFormat=pdf,5645235-3,,Compliant,,C4659716,TE Connectivity / AMP,5645235-3,,571-5645235-3,https://au.mouser.com/ProductDetail/TE-Connectivity-AMP/5645235-3?qs=sGAEpiMZZMvlX3nhDDO4AEduDnuFsUTor0qTwr7IQwc%3D,1
CN606,IPL,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X4,,,,Amphenol FCI,10129378-904002BLF,,649-1012937890402BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-904002BLF?qs=0lQeLiL1qyaw2kaC5TTjqQ%3D%3D,1
